X	HV102_Abd	HV102_Eye	HV102_Leg	HV102_Meso	HV102_Ovi	HV102_Pro	HV102_Wing2	HV102_Wing3	HV3a_Abd	HV3a_Eye	HV3a_Leg	HV3a_Meso	HV3a_Ovi	HV3a_Pro	HV3a_Wing2	HV3a_Wing3	HV7_Abd	HV7_Leg	HV7_Meso	HV7_Pro	HV7_Wing2	id
HV102_Abd_TRINITY_DN16561_c0_g1	120	2	10	6	25	4	0	0	338	11	1	0	123	2	0	0	193	1	4	7	0	HV102_Abd_TRINITY_DN16561_c0_g1
HV102_Abd_TRINITY_DN15058_c0_g1	68	83	191	200	292	118	271	301	97	70	77	167	124	76	179	180	77	49	25	22	90	HV102_Abd_TRINITY_DN15058_c0_g1
HV102_Pro_TRINITY_DN16558_c2_g1	63	64	313	166	105	122	205	241	80	146	235	105	92	71	98	148	79	67	26	23	41	HV102_Pro_TRINITY_DN16558_c2_g1
HV102_Wing3_TRINITY_DN24056_c0_g1	4	1	6	5	3	4	7	13	3	3	0	1	1	1	2	0	4	0	0	0	0	HV102_Wing3_TRINITY_DN24056_c0_g1
HV102_Abd_TRINITY_DN13563_c0_g1	113	235	515	689	1584	292	1094	1296	286	233	409	862	1762	250	285	1411	174	166	40	84	155	HV102_Abd_TRINITY_DN13563_c0_g1
HV102_Eye_TRINITY_DN22851_c0_g1	160	154	346	287	463	159	349	443	96	239	129	120	200	63	203	262	177	99	69	58	354	HV102_Eye_TRINITY_DN22851_c0_g1
HV102_Leg_TRINITY_DN11021_c0_g1	11	69.51	61	12	20	28	15	10	21	69	21	25	13	11	6	15	17	12	0	4	0	HV102_Leg_TRINITY_DN11021_c0_g1
HV102_Wing2_TRINITY_DN6955_c0_g1	15.86	22.03	75.81	33.72	26.46	66.66	45.51	30.04	369.93	68	105.45	133.35	32.94	150.92	59.76	78	22.82	15.01	10	31.7	5.19	HV102_Wing2_TRINITY_DN6955_c0_g1
HV102_Abd_TRINITY_DN20720_c0_g1	268.27	3.28	39.41	18.5	118.1	5.35	4	2.06	353.41	1.36	19	8.57	46.38	4.11	0	2	225.57	9.24	0	0	0	HV102_Abd_TRINITY_DN20720_c0_g1
HV102_Eye_TRINITY_DN19825_c1_g5	22	37	30	29	69	30	70	82	15	35	23	27	28	18	11	81	18	11	4	2	11	HV102_Eye_TRINITY_DN19825_c1_g5
HV102_Wing3_TRINITY_DN30662_c0_g1	0	0	4	2	0	1	2	5	0	3	1	0	3	0	2	3	2	0	0	0	0	HV102_Wing3_TRINITY_DN30662_c0_g1
HV102_Eye_TRINITY_DN19688_c0_g1	978	909	2165	2358	2954	1147	2420	3004	1609	1159	1039	1163	1454	670	2018	1676	1026	323	188	187	724	HV102_Eye_TRINITY_DN19688_c0_g1
HV102_Abd_TRINITY_DN21852_c0_g1	527.59	465.78	688.12	548.02	658.93	352.7	721.73	836.81	868.36	550.77	428.41	441	678.67	299.93	281.57	737.55	986	325.8	127.26	217	353.31	HV102_Abd_TRINITY_DN21852_c0_g1
HV102_Eye_TRINITY_DN9354_c0_g1	2	1866	1	3	1	0	1	4	0	1961	0	0	0	0	2	0	1	0	0	1	0	HV102_Eye_TRINITY_DN9354_c0_g1
HV102_Wing2_TRINITY_DN25221_c4_g2	2	3	1	2	1	1	7	7	0	3	1	4	2	3	0	3	3	0	1	1	1	HV102_Wing2_TRINITY_DN25221_c4_g2
HV102_Wing3_TRINITY_DN20916_c0_g1	23	30	22	28	10	7	78	145	26	69	55	40	74	25	23	98	20	7	9	6	18	HV102_Wing3_TRINITY_DN20916_c0_g1
HV102_Eye_TRINITY_DN20750_c0_g2	3	502	23	3	1	2	6	3	3	486	10	2	6	3	7	4	2	12	0	6	0	HV102_Eye_TRINITY_DN20750_c0_g2
HV102_Wing2_TRINITY_DN22605_c0_g1	103.5	43.73	55.9	57.31	58.73	18	112.85	87.42	178.93	77.02	39.94	83.02	161.18	30.95	111.5	130.02	992.75	8.01	21	0	54.2	HV102_Wing2_TRINITY_DN22605_c0_g1
HV102_Wing3_TRINITY_DN32710_c1_g2	12	10	25	27	4	9	38	53	19	29	17	7	22	7	10	20	24	11	7	5	8	HV102_Wing3_TRINITY_DN32710_c1_g2
HV102_Abd_TRINITY_DN15083_c0_g1	291	204	968	435	425	497	193	235	245	223	478	435	521	195	313	493	509	529	154	288	191	HV102_Abd_TRINITY_DN15083_c0_g1
HV102_Abd_TRINITY_DN14570_c0_g1	549	9	15	14	2	14	2	2	58	9	14	15	84	17	1	7	6192	3	2	0	1	HV102_Abd_TRINITY_DN14570_c0_g1
HV102_Ovi_TRINITY_DN16916_c2_g1	33	359	337	52	86	103	42	15	48	348	210	15	74	39	16	8	196	102	7	31	14	HV102_Ovi_TRINITY_DN16916_c2_g1
