X	HV102_Abd	HV102_Eye	HV102_Leg	HV102_Meso	HV102_Ovi	HV102_Pro	HV102_Wing2	HV102_Wing3	HV3a_Abd	HV3a_Eye	HV3a_Leg	HV3a_Meso	HV3a_Ovi	HV3a_Pro	HV3a_Wing2	HV3a_Wing3	HV7_Abd	HV7_Leg	HV7_Meso	HV7_Pro	HV7_Wing2	id
HV102_Wing2_TRINITY_DN22960_c0_g2	1	3	0	5	7	1	11	20	0	7	1	0	2	0	3	4	1	1	3	0	6	HV102_Wing2_TRINITY_DN22960_c0_g2
HV102_Leg_TRINITY_DN20096_c2_g1	9.05	18.35	946.2	64.66	0	632.21	8.5	17.34	17.33	0	565.43	56.8	25.96	119.5	6.88	0	69.1	209.29	49.05	97.43	0	HV102_Leg_TRINITY_DN20096_c2_g1
HV102_Wing3_TRINITY_DN34619_c0_g1	0	0	0	0	2	0	1	3	0	1	2	0	0	0	0	1	0	0	0	0	0	HV102_Wing3_TRINITY_DN34619_c0_g1
HV102_Wing3_TRINITY_DN29830_c0_g1	410.15	152.86	208.7	261.1	375.41	191.62	233.65	274.36	426.62	153.05	92.69	128.48	271.99	64.68	204.97	236.75	487.48	36.23	34.33	46.25	38.9	HV102_Wing3_TRINITY_DN29830_c0_g1
HV102_Wing2_TRINITY_DN26038_c0_g3	48	29	28	11	2	16	45	44	19	28	44	30	15	21	25	60	173	31	103	179	266	HV102_Wing2_TRINITY_DN26038_c0_g3
HV102_Leg_TRINITY_DN19675_c0_g1	34.63	71.02	100.03	96.93	146.16	45.27	119	148.97	163.66	288.78	105.02	90.89	229.27	66.15	169.07	235.69	56.29	27.11	16.29	20.55	41.1	HV102_Leg_TRINITY_DN19675_c0_g1
HV102_Wing3_TRINITY_DN31688_c2_g1	102.63	74.75	230.54	210.99	188.64	67	390.13	562.41	42	65.45	68	109.16	115.5	39	51	147	59.63	8.21	19.05	13	48.37	HV102_Wing3_TRINITY_DN31688_c2_g1
HV102_Leg_TRINITY_DN18609_c0_g1	28.21	16.22	58.59	36.33	31.66	21.79	118.24	163.71	57.77	37.35	40.5	59.98	93.33	39.18	41.96	194.42	66.76	18.54	11.14	11.59	26.74	HV102_Leg_TRINITY_DN18609_c0_g1
HV102_Meso_TRINITY_DN14572_c0_g1	0	1.37	13.57	18.29	7.84	1.4	4.65	11.04	0	2.76	0	1.72	3.16	1.63	1.54	1.35	3.04	0	0	0	3.35	HV102_Meso_TRINITY_DN14572_c0_g1
HV102_Wing2_TRINITY_DN27143_c0_g1	49	91	179	133	256	79	150	196	46	107	67	96	83	32	133	168	55	41	11	32	51	HV102_Wing2_TRINITY_DN27143_c0_g1
HV102_Wing2_TRINITY_DN31085_c1_g1	6.93	10.86	13.01	22.89	13.32	6.03	37.26	30.22	5.91	35.1	15.04	7.93	15.88	7.77	6.35	17.2	6.96	3.3	6.45	2.32	1.33	HV102_Wing2_TRINITY_DN31085_c1_g1
HV102_Wing2_TRINITY_DN24267_c0_g1	73	110	107	126	72	48	328	469	85	327	155	102	195	79	67	214	132	32	35	35	95	HV102_Wing2_TRINITY_DN24267_c0_g1
HV102_Abd_TRINITY_DN18249_c0_g1	1667	1356	4187	3019	3601	2783	2536	3035	3939	1603	2186	1384	1904	1573	1743	1605	2633	1399	601	1027	2037	HV102_Abd_TRINITY_DN18249_c0_g1
HV102_Wing2_TRINITY_DN18704_c0_g1	0	1	0	1	1	0	7	2	0	3	7	0	2	1	4	7	0	0	0	0	0	HV102_Wing2_TRINITY_DN18704_c0_g1
HV102_Wing3_TRINITY_DN18264_c0_g1	9	7	30	10	14	8	26	31	15	34	22	21	23	9	19	21	15	2	4	2	7	HV102_Wing3_TRINITY_DN18264_c0_g1
HV102_Abd_TRINITY_DN9267_c0_g1	7	2	1	3	1	1	6	0	2	5	1	0	3	2	1	1	21	1	0	2	0	HV102_Abd_TRINITY_DN9267_c0_g1
HV102_Wing3_TRINITY_DN30835_c0_g3	17.03	40.83	89.54	95.54	23.6	50.47	35.62	59.8	14.08	39.74	29.81	16.31	12.75	13.03	17.24	14.87	35.65	36.67	9.38	7.8	17.51	HV102_Wing3_TRINITY_DN30835_c0_g3
HV102_Leg_TRINITY_DN17772_c1_g1	87.62	93.96	349.65	255.89	315.72	195.33	630.5	849.52	156.65	108.35	160.19	196.39	232.83	144.08	218.6	545.56	184.36	65.47	61.56	128.68	233.07	HV102_Leg_TRINITY_DN17772_c1_g1
HV102_Ovi_TRINITY_DN20188_c1_g1	188.91	49.98	29.66	95.42	184.38	90.72	7.4	5.52	279.29	38.81	19.74	61.31	109.15	33.82	1.46	9.87	324.24	9.9	19.15	21.2	0	HV102_Ovi_TRINITY_DN20188_c1_g1
HV102_Pro_TRINITY_DN11587_c0_g1	384	506	4594	4450	1798	1759	8330	11985	3083	22	3003	4264	793	1892	2081	6237	737	824	910	1278	542	HV102_Pro_TRINITY_DN11587_c0_g1
HV102_Wing3_TRINITY_DN29402_c0_g3	0	0	3.48	0	0	0	2.19	4.66	0	0	0	0	0	0	0	2	2.38	0	0	0	0.84	HV102_Wing3_TRINITY_DN29402_c0_g3
HV102_Wing3_TRINITY_DN23161_c0_g1	5.3	22.34	27.82	12.83	25.3	13.4	75.36	83.19	0	17.93	1	4	4	0	2.47	7	5.34	3	0	1	1	HV102_Wing3_TRINITY_DN23161_c0_g1
HV102_Wing2_TRINITY_DN24182_c0_g1	263.84	337.77	378.98	580.39	806.2	324.71	579.1	395.87	373.08	295.09	160.35	128.13	387.33	142.2	198.71	257.29	342.43	189.66	25.24	101.26	276.56	HV102_Wing2_TRINITY_DN24182_c0_g1
HV102_Wing2_TRINITY_DN30922_c0_g2	51.43	80.65	53.37	128.12	50.58	34.44	170.49	202.66	78.18	344.35	124.09	109.3	102.29	52.27	79.09	188.63	73.02	20.24	20.6	31.92	31.23	HV102_Wing2_TRINITY_DN30922_c0_g2
HV102_Eye_TRINITY_DN18014_c0_g2	16	35	57	37	32	30	73	84	25	27	30	15	16	19	23	49	32	14	0	4	15	HV102_Eye_TRINITY_DN18014_c0_g2
HV102_Wing2_TRINITY_DN28180_c0_g1	58.73	69.56	149.39	184.23	211.89	115.73	211.97	220.49	78.8	88.09	60.79	106.82	154.62	71.13	221.39	228.78	60	66	18	26	59	HV102_Wing2_TRINITY_DN28180_c0_g1
HV102_Abd_TRINITY_DN16183_c0_g1	76	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	88	0	0	0	0	HV102_Abd_TRINITY_DN16183_c0_g1
HV102_Wing3_TRINITY_DN34961_c0_g1	0	0	2	0	1	1	2	5	0	1	1	0	3	0	0	0	0	2	1	0	1	HV102_Wing3_TRINITY_DN34961_c0_g1
HV102_Wing3_TRINITY_DN33785_c0_g2	164.57	295.89	311.6	263.88	158.8	163.29	377.9	613.49	265.32	391.43	237.74	273.6	318.95	122.04	151	477.48	282.58	64.53	55.71	52	72	HV102_Wing3_TRINITY_DN33785_c0_g2
HV102_Pro_TRINITY_DN17973_c1_g1	11.33	26.09	43.02	25.77	40.72	43.57	65.9	78.6	19.96	65.76	19.43	15.61	25.97	26.25	17.45	38.02	13.18	45.03	5.1	14.48	9.33	HV102_Pro_TRINITY_DN17973_c1_g1
HV102_Leg_TRINITY_DN12690_c0_g1	170	211	502	534	892	390	621	773	279	213	150	207	408	162	525	557	159	135	52	55	221	HV102_Leg_TRINITY_DN12690_c0_g1
HV102_Ovi_TRINITY_DN12316_c0_g1	973	943	2897	2038	2457	1768	2144	2653	2771	1348	1396	1911	2699	892	2303	4724	1528	815	317	495	629	HV102_Ovi_TRINITY_DN12316_c0_g1
HV102_Ovi_TRINITY_DN16154_c0_g1	211	1434	9154	5075	2754	875	12990	8510	1979	777	5374	8703	2465	2554	14120	16560	346	86	158	412	212	HV102_Ovi_TRINITY_DN16154_c0_g1
HV102_Eye_TRINITY_DN20069_c0_g1	20	29	29	17	60	31	31	5	22	36	14	22	13	14	11	17	46	3	0	7	3	HV102_Eye_TRINITY_DN20069_c0_g1
HV102_Abd_TRINITY_DN14325_c0_g1	233	240	538	400	535	296	505	644	407	320	233	359	331	129	254	474	399	142	56	89	117	HV102_Abd_TRINITY_DN14325_c0_g1
HV102_Eye_TRINITY_DN9340_c0_g1	1	8	0	1	2	1	6	1	0	4	3	3	0	0	2	2	0	0	0	0	0	HV102_Eye_TRINITY_DN9340_c0_g1
HV102_Ovi_TRINITY_DN15298_c0_g3	2	0	1	0	5	2	1	0	0	0	0	4	0	0	0	0	4	0	0	0	2	HV102_Ovi_TRINITY_DN15298_c0_g3
HV102_Eye_TRINITY_DN16579_c0_g1	1	35	0	1	0	1	1	2	1	86	3	0	0	0	0	0	0	1	0	0	0	HV102_Eye_TRINITY_DN16579_c0_g1
HV102_Wing2_TRINITY_DN20864_c0_g1	58	67	72	81	45	28	166	325	68	113	69	52	135	60	47	160	77	12	10	23	59	HV102_Wing2_TRINITY_DN20864_c0_g1
HV102_Abd_TRINITY_DN19705_c2_g1	389	388	1029	1334	1670	614	1274	1450	626	524	437	475	791	328	800	818	446	241	151	119	399	HV102_Abd_TRINITY_DN19705_c2_g1
HV102_Abd_TRINITY_DN12357_c0_g3	21	6	0	1	6	5	1	0	47	4	1	3	39	2	0	2	45	0	1	0	0	HV102_Abd_TRINITY_DN12357_c0_g3
HV102_Wing3_TRINITY_DN32629_c0_g1	4	2	1	3	2	2	2	5	0	1	3	0	4	0	0	2	2	0	0	0	0	HV102_Wing3_TRINITY_DN32629_c0_g1
HV102_Ovi_TRINITY_DN12334_c0_g1	184	216	487	506	552	222	415	538	279	248	209	319	255	170	278	379	350	231	99	166	274	HV102_Ovi_TRINITY_DN12334_c0_g1
HV102_Abd_TRINITY_DN13344_c0_g1	246	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	217	0	0	0	0	HV102_Abd_TRINITY_DN13344_c0_g1
HV102_Ovi_TRINITY_DN18845_c2_g3	6.22	9.71	35.83	21.98	18.07	4.2	10.09	19.63	0	2.74	11.72	4.7	3	3.46	1.71	7.25	5.66	4.24	5	2.59	5.44	HV102_Ovi_TRINITY_DN18845_c2_g3
HV102_Leg_TRINITY_DN19248_c0_g1	6.65	2.36	17.06	0.28	6.32	0.49	6.94	8.64	4.89	0	2.41	0	1.34	8.08	17.16	9.18	3.96	0	1.25	8.84	0	HV102_Leg_TRINITY_DN19248_c0_g1
HV102_Abd_TRINITY_DN6459_c0_g2	94	0	1	0	0	0	1	3	62	1	1	1	0	1	0	0	200	0	0	2	0	HV102_Abd_TRINITY_DN6459_c0_g2
HV102_Wing2_TRINITY_DN8844_c0_g1	0	1	2	0	0	0	5	1	1	4	1	2	4	0	0	2	3	1	0	0	0	HV102_Wing2_TRINITY_DN8844_c0_g1
HV102_Wing3_TRINITY_DN30548_c0_g1	52.29	29.02	103.34	104.92	75.11	50.97	85.21	183.89	96.02	66.11	72.16	54.82	86.17	30.81	52.44	89.75	75.79	40.44	13.58	20.93	79.29	HV102_Wing3_TRINITY_DN30548_c0_g1
HV102_Ovi_TRINITY_DN18118_c0_g1	69.07	37.27	71.67	109.7	162.53	75.38	112.4	119.93	63.08	56.51	52.88	78.33	75	45	96.26	81.55	72.19	36.74	10.97	16	41.2	HV102_Ovi_TRINITY_DN18118_c0_g1
HV102_Abd_TRINITY_DN19551_c0_g1	418	295	968	1029	994	553	887	1292	1005	534	456	597	1333	348	1358	1402	598	253	108	175	475	HV102_Abd_TRINITY_DN19551_c0_g1
HV102_Meso_TRINITY_DN16739_c0_g1	89	63	109	164	60	111	106	178	121	102	128	133	147	83	62	160	162	23	15	21	39	HV102_Meso_TRINITY_DN16739_c0_g1
HV102_Abd_TRINITY_DN16229_c1_g1	115	0	0	0	1	0	0	2	27	0	1	3	109	1	0	1	1310	0	0	1	0	HV102_Abd_TRINITY_DN16229_c1_g1
HV102_Wing2_TRINITY_DN7263_c0_g1	1	2	1	2	1	0	6	6	8	3	4	2	3	0	2	1	1	0	0	0	2	HV102_Wing2_TRINITY_DN7263_c0_g1
HV102_Abd_TRINITY_DN14755_c0_g1	182	205	556	587	678	346	371	499	342	164	248	323	191	123	375	329	223	165	58	62	103	HV102_Abd_TRINITY_DN14755_c0_g1
HV102_Pro_TRINITY_DN2032_c0_g1	0	0	0	1	0	65	0	1	1	0	1	2	0	0	0	0	0	1	0	0	0	HV102_Pro_TRINITY_DN2032_c0_g1
HV102_Leg_TRINITY_DN2343_c0_g1	0	8	37	40	117	17	53	49	4	10	33	18	43	5	25	35	4	7	0	3	0	HV102_Leg_TRINITY_DN2343_c0_g1
HV102_Eye_TRINITY_DN17388_c0_g1	173	355	678	1177	1050	491	967	1214	176	238	177	406	204	163	138	214	280	109	103	46	290	HV102_Eye_TRINITY_DN17388_c0_g1
HV102_Eye_TRINITY_DN13536_c0_g1	148	310	530	474	719	311	545	610	251	261	212	252	411	165	398	444	151	105	38	41	119	HV102_Eye_TRINITY_DN13536_c0_g1
HV102_Wing2_TRINITY_DN28950_c0_g1	87	78	172	246	337	129	256	259	89	51	45	84	60	29	28	43	147	41	29	18	209	HV102_Wing2_TRINITY_DN28950_c0_g1
HV102_Abd_TRINITY_DN21238_c0_g1	19	5	10	0	4	5	5	1	6.07	3.01	7	3	5	2	1	0	36.86	1	2	0	2	HV102_Abd_TRINITY_DN21238_c0_g1
HV102_Abd_TRINITY_DN19808_c1_g2	2155	667	132	757	2347	557	86	32	3959	42	42	475	335	126	15	29	3439	62	73	40	5	HV102_Abd_TRINITY_DN19808_c1_g2
HV102_Eye_TRINITY_DN20570_c0_g2	56.15	172.04	241	297.78	272.45	95.46	263.52	395.08	85.63	75.36	78.71	118.93	99.39	37.87	166.58	270.92	96.15	29.78	12.62	16.87	27.07	HV102_Eye_TRINITY_DN20570_c0_g2
HV102_Ovi_TRINITY_DN12024_c0_g1	284	478	75	201	295	103	21	17	3082	363	56	336	449	42	71	101	326	23	10	9	3	HV102_Ovi_TRINITY_DN12024_c0_g1
HV102_Meso_TRINITY_DN17946_c0_g2	872	553	401	537	331	430	237	222	1084.35	80	319.43	157	113	149	366	405	904.49	307	107	205	582.01	HV102_Meso_TRINITY_DN17946_c0_g2
HV102_Abd_TRINITY_DN21386_c0_g1	413	378	498	442	275	306	1147	1714	430	543	392	349	482	339	288	725	422	302	144	206	333	HV102_Abd_TRINITY_DN21386_c0_g1
HV102_Ovi_TRINITY_DN14237_c0_g2	270	378	693	786	664	354	505	616	319	438	248	504	308	171	368	462	309	183	77	89	142	HV102_Ovi_TRINITY_DN14237_c0_g2
HV102_Eye_TRINITY_DN8147_c0_g1	0	27	9	2	1	3	0	0	0	0	12	2	3	3	0	0	1	4	1	3	0	HV102_Eye_TRINITY_DN8147_c0_g1
HV102_Meso_TRINITY_DN20452_c0_g1	1532.12	1361.82	3736.15	4304.15	3694.19	1994.46	8373.54	13759.01	1737.7	4383.69	2869.31	2250.81	7281.16	2128.06	4501.3	10250.58	2397.83	826.51	513.76	742.47	845.26	HV102_Meso_TRINITY_DN20452_c0_g1
HV102_Leg_TRINITY_DN14501_c0_g1	328	340	638	537	632	366	853	1162	536	490	435	324	565	275	531	668	598	168	77	94	227	HV102_Leg_TRINITY_DN14501_c0_g1
HV102_Leg_TRINITY_DN20238_c0_g2	103	18	117	70	74	39	57	89	6	7	4	0	4	2	1	5	28	7	4	1	1	HV102_Leg_TRINITY_DN20238_c0_g2
HV102_Wing3_TRINITY_DN7810_c0_g1	14	11	12	7	158	1	5	16	82	15	53	9	50	13	8	37	19	1	0	3	0	HV102_Wing3_TRINITY_DN7810_c0_g1
HV102_Wing2_TRINITY_DN30481_c0_g1	325.01	776.12	289.46	275.12	415.07	510.83	260.24	100.54	1590.81	676.07	3466.77	501.2	1992.82	546.17	7087.57	7267.05	178.89	118.14	7.59	0	10	HV102_Wing2_TRINITY_DN30481_c0_g1
HV102_Eye_TRINITY_DN17335_c0_g1	613.89	658.99	2181.52	2006.43	1181.99	1163.07	590.45	708.16	782.29	670.3	1328.14	1617.75	381.9	430.17	551.05	561.7	862.84	1131.56	167.21	355.52	145.19	HV102_Eye_TRINITY_DN17335_c0_g1
HV102_Wing2_TRINITY_DN28342_c0_g1	154	143	408	505	692	250	485	599	220	281	167	261	518	135	607	542	188	80	56	65	232	HV102_Wing2_TRINITY_DN28342_c0_g1
HV102_Wing3_TRINITY_DN34369_c0_g1	1	3	1	5	0	1	6	6	3	7	0	3	2	1	1	7	1	0	1	2	7	HV102_Wing3_TRINITY_DN34369_c0_g1
HV102_Eye_TRINITY_DN4377_c0_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	HV102_Eye_TRINITY_DN4377_c0_g1
HV102_Abd_TRINITY_DN15599_c0_g1	95	114	241	167	355	129	193	232	136	118	84	200	159	77	219	364	124	101	52	81	123	HV102_Abd_TRINITY_DN15599_c0_g1
HV102_Wing2_TRINITY_DN29025_c0_g1	62.03	22.91	54.58	47.7	56.02	20.95	113.49	158.16	74.27	57.46	37.75	49.81	100.55	43.26	53.32	126.93	81.67	15.97	14	25.35	32.68	HV102_Wing2_TRINITY_DN29025_c0_g1
HV102_Abd_TRINITY_DN11395_c0_g1	152.72	441.24	49.79	83.71	131.15	114.09	22.89	0	135.99	27.45	35.44	63.89	11.58	89.81	5.76	9.46	263.46	9.46	0	32.22	0	HV102_Abd_TRINITY_DN11395_c0_g1
HV102_Leg_TRINITY_DN14424_c0_g1	42.35	63.9	165.88	274.45	61	43.8	444.57	711.99	34.75	133.93	91.73	194.39	361.49	94	214.12	750.14	43.95	10.35	42.67	40.07	52.69	HV102_Leg_TRINITY_DN14424_c0_g1
HV102_Eye_TRINITY_DN18938_c0_g1	254.81	513.39	472.98	427.22	606.28	365.93	379.94	495.85	430.93	716.19	361.81	196.31	373.8	146.07	156.01	282.99	555.27	263.58	20.93	132.57	217.69	HV102_Eye_TRINITY_DN18938_c0_g1
HV102_Eye_TRINITY_DN20969_c0_g1	13	603	510	32	249	160	99	45	52	398	175	57	85	99	45	36	12	62	6	32	18	HV102_Eye_TRINITY_DN20969_c0_g1
HV102_Abd_TRINITY_DN11440_c0_g1	102	78	124	22	50	50	9	10	87	96	69	24	33	19	14	11	255	36	8	39	8	HV102_Abd_TRINITY_DN11440_c0_g1
HV102_Abd_TRINITY_DN19489_c1_g1	3669	0	0	0	0	1	0	1	1853	0	0	1	4	0	0	1	3147	0	0	4	1	HV102_Abd_TRINITY_DN19489_c1_g1
HV102_Wing2_TRINITY_DN24854_c0_g1	89	88	192	193	358	120	266	282	86	64	54	103	168	30	198	259	34	42	18	24	51	HV102_Wing2_TRINITY_DN24854_c0_g1
HV102_Eye_TRINITY_DN16247_c0_g1	0	20.33	0	1.04	5.18	2.17	2.05	0	2.29	0	0	2.13	1.08	0	0	0	0	2.19	0	1	1.09	HV102_Eye_TRINITY_DN16247_c0_g1
HV102_Abd_TRINITY_DN20710_c0_g1	444	0	1	3	2	0	0	4	39	0	0	1	76	0	0	0	8953	2	0	0	0	HV102_Abd_TRINITY_DN20710_c0_g1
HV102_Wing3_TRINITY_DN13293_c0_g1	16	1	7	5	8	8	9	23	3	30	13	5	3	4	7	14	12	2	0	1	3	HV102_Wing3_TRINITY_DN13293_c0_g1
HV102_Wing2_TRINITY_DN27201_c0_g5	20	24	30	23	10	8	120	211	23	78	62	36	76	34	29	129	29	7	19	9	27	HV102_Wing2_TRINITY_DN27201_c0_g5
HV102_Eye_TRINITY_DN3176_c0_g1	2	8	0	0	0	3	2	2	2	11	0	3	4	5	0	4	2	0	0	0	1	HV102_Eye_TRINITY_DN3176_c0_g1
HV102_Abd_TRINITY_DN22088_c4_g1	310	297	651	718	530	395	1019	1129	347	386	356	299	344	277	289	408	590	240	65	133	493	HV102_Abd_TRINITY_DN22088_c4_g1
HV102_Abd_TRINITY_DN22120_c4_g1	11433	4583	21343	20750	18678	10880	29056	41571	15929	6115	7823	11660	20799	5313	18541	28890	8961	1771	2030	1216	4916	HV102_Abd_TRINITY_DN22120_c4_g1
HV102_Wing2_TRINITY_DN30714_c0_g2	3	4.02	1	5.99	7.04	6.99	12.3	16.22	5.33	21.05	5.98	5	12.99	6	3.97	25.8	2	1	1	0	0	HV102_Wing2_TRINITY_DN30714_c0_g2
HV102_Wing3_TRINITY_DN4941_c0_g1	9	44	12	24	15	3	26	69	25	98	25	24	38	15	18	43	8	3	3	1	5	HV102_Wing3_TRINITY_DN4941_c0_g1
HV102_Wing2_TRINITY_DN7946_c0_g1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	HV102_Wing2_TRINITY_DN7946_c0_g1
HV102_Wing3_TRINITY_DN34613_c0_g1	2	0	0	1	0	0	2	4	1	1	0	0	1	0	0	4	0	0	0	0	0	HV102_Wing3_TRINITY_DN34613_c0_g1
HV102_Eye_TRINITY_DN22009_c3_g1	94.19	66.37	179.02	108.35	130.47	130.14	138.19	155.93	145.79	62.1	108.67	95.76	110.36	61.67	74.41	88.3	98.17	58.84	2.8	26.28	68.3	HV102_Eye_TRINITY_DN22009_c3_g1
HV102_Eye_TRINITY_DN11911_c0_g1	3	51	5	2	6	4	6	5	14	110	8	11	6	8	4	7	4	1	0	1	2	HV102_Eye_TRINITY_DN11911_c0_g1
HV102_Abd_TRINITY_DN17438_c0_g1	166.27	103.06	426.82	198.19	159.01	151.31	429.27	441.28	173.54	46.78	173.07	154.27	77.36	144.32	146.33	387.11	159.72	43.86	53.71	61.82	54.02	HV102_Abd_TRINITY_DN17438_c0_g1
HV102_Eye_TRINITY_DN21426_c0_g5	0	19	0	0	0	0	1	0	0	27	0	0	1	0	1	0	0	0	0	0	0	HV102_Eye_TRINITY_DN21426_c0_g5
HV102_Abd_TRINITY_DN18719_c0_g1	974	9145	9983	1315	4743	2227	1914	2044	1806	4599	2873	2401	2534	1318	1315	3754	969	2175	1118	1573	569	HV102_Abd_TRINITY_DN18719_c0_g1
HV102_Meso_TRINITY_DN19702_c2_g1	915.66	652.72	1009.12	983.83	1623.68	617.55	922.07	976.09	318.91	564.75	328.2	200.89	259.08	196	269.25	304.5	332.76	124.47	42.01	76.65	131.26	HV102_Meso_TRINITY_DN19702_c2_g1
HV102_Abd_TRINITY_DN20775_c0_g1	443.87	290.97	878.58	864.41	1089.54	498.75	1488.86	1898.94	352.07	514.79	368.94	618.63	704.93	259.06	1146.93	2366.4	669.45	317.8	164.45	269.36	343.71	HV102_Abd_TRINITY_DN20775_c0_g1
HV102_Eye_TRINITY_DN14380_c0_g1	1	7	1	10	12	2	11	23	8	39	9	9	10	0	2	12	6	0	2	4	2	HV102_Eye_TRINITY_DN14380_c0_g1
HV102_Leg_TRINITY_DN20729_c1_g1	40.24	56.14	154.36	175.39	205.8	129.5	210.67	285.74	40	49	13	15	37	7	29	49	31	6	2	3.09	5	HV102_Leg_TRINITY_DN20729_c1_g1
HV102_Abd_TRINITY_DN20313_c0_g1	1369	907	2715	2993	3491	2097	2789	3749	2035	767	780	1554	2296	778	2258	3922	1250	505	387	423	682	HV102_Abd_TRINITY_DN20313_c0_g1
HV102_Ovi_TRINITY_DN15257_c0_g1	0	28.72	29.66	5.12	120.49	23.23	14.95	0	29.34	19.72	49.25	6.87	17.65	15.05	28.33	0	14.01	433.49	17.8	37.9	185.93	HV102_Ovi_TRINITY_DN15257_c0_g1
HV102_Wing3_TRINITY_DN23368_c0_g1	4	6	5	2	8	3	15	24	9	4	5	1	4	3	5	5	6	2	3	0	3	HV102_Wing3_TRINITY_DN23368_c0_g1
HV102_Leg_TRINITY_DN21284_c0_g1	1079.57	1552.02	134.33	241.75	558.14	182.45	29.98	16.03	1715.94	826.55	87.54	227.11	245.49	71.89	8.68	11.04	1160.05	29.92	32.63	33.21	6	HV102_Leg_TRINITY_DN21284_c0_g1
HV102_Abd_TRINITY_DN13239_c0_g1	205	189	525	708	832	314	494	534	339	212	157	521	597	159	512	928	298	164	87	97	301	HV102_Abd_TRINITY_DN13239_c0_g1
HV102_Eye_TRINITY_DN6342_c0_g1	0	6	2	0	0	0	1	2	0	13	5	1	1	0	0	4	1	1	0	0	0	HV102_Eye_TRINITY_DN6342_c0_g1
HV102_Abd_TRINITY_DN23189_c0_g1	111.1	173.63	352.83	283.54	332.81	214.91	185.58	223.33	246.23	304.25	169.91	131	150.57	77.77	145.7	124.77	217.99	121.44	40	63	87.29	HV102_Abd_TRINITY_DN23189_c0_g1
HV102_Abd_TRINITY_DN10504_c0_g1	806	1028	2982	3319	4610	1756	3651	4142	852	894	933	1859	1696	861	2009	2850	825	458	419	226	1236	HV102_Abd_TRINITY_DN10504_c0_g1
HV102_Leg_TRINITY_DN15650_c0_g1	24	153	145	119	46	61	26	43	25	255	49	69	19	13	8	9	41	39	12	6	3	HV102_Leg_TRINITY_DN15650_c0_g1
HV102_Abd_TRINITY_DN20869_c0_g1	1660	670	5145	4319	3062	2647	3338	4888	2127	784	2784	3067	2137	1397	2166	3608	2141	2640	850	1534	1511	HV102_Abd_TRINITY_DN20869_c0_g1
HV102_Eye_TRINITY_DN16309_c0_g1	5	234	92	52	25	27	34	52	20	363	63	65	23	33	9	31	18	46	14	20	14	HV102_Eye_TRINITY_DN16309_c0_g1
HV102_Abd_TRINITY_DN15047_c0_g1	628	0	0	0	0	0	0	0	923	0	0	1	1	1	0	0	426	0	0	2	0	HV102_Abd_TRINITY_DN15047_c0_g1
HV102_Leg_TRINITY_DN13275_c0_g1	16	18	71	49	65	36	54	64	32	39	66	71	40	33	57	94	22	22	11	14	29	HV102_Leg_TRINITY_DN13275_c0_g1
HV102_Ovi_TRINITY_DN20101_c0_g1	43.53	47.34	82.04	68.07	123.86	33.98	66.75	75.27	30.5	129.84	21.77	10.86	31.05	7.57	24.66	14.6	20.79	12.79	3	16.51	16.34	HV102_Ovi_TRINITY_DN20101_c0_g1
HV102_Ovi_TRINITY_DN5246_c0_g1	1	0	0	1	5	0	1	0	12	13	13	4	7	4	7	6	1	0	0	0	0	HV102_Ovi_TRINITY_DN5246_c0_g1
HV102_Abd_TRINITY_DN6388_c0_g1	1362	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	1599	0	0	0	0	HV102_Abd_TRINITY_DN6388_c0_g1
HV102_Wing2_TRINITY_DN25898_c0_g1	320	193	573	402	451	495	1058	336	714	358	485	213	326	644	336	153	302	98	48	238	172	HV102_Wing2_TRINITY_DN25898_c0_g1
HV102_Wing3_TRINITY_DN32489_c0_g1	11	14	12	34	9	4	70	114	16	30	30	26	38	11	7	72	15	5	4	2	6	HV102_Wing3_TRINITY_DN32489_c0_g1
HV102_Eye_TRINITY_DN16043_c0_g1	75	92	87	218	59	63	567	1035	79	202	82	277	576	64	297	1889	129	21	25	26	49	HV102_Eye_TRINITY_DN16043_c0_g1
HV102_Leg_TRINITY_DN16396_c0_g1	82	128	301	315	480	171	303	284	174	230	95	149	252	68	291	207	125	41	18	10	60	HV102_Leg_TRINITY_DN16396_c0_g1
HV102_Wing3_TRINITY_DN30552_c0_g1	1	3	3	3	0	0	3	11	6	14	0	2	5	2	0	1	2	0	0	0	7	HV102_Wing3_TRINITY_DN30552_c0_g1
HV102_Leg_TRINITY_DN22698_c0_g1	3	2	12	7	2	1	9	5	15	18	12	12	26	6	14	24	4	0	1	1	0	HV102_Leg_TRINITY_DN22698_c0_g1
HV102_Abd_TRINITY_DN9486_c0_g2	154	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	125	0	0	0	0	HV102_Abd_TRINITY_DN9486_c0_g2
HV102_Ovi_TRINITY_DN18664_c1_g2	161.33	186	471.96	555.27	835.54	256.04	567.3	705.71	153.79	111.86	170.56	161.85	152.5	98.79	222.04	206.01	149.78	209.52	36	67	130.6	HV102_Ovi_TRINITY_DN18664_c1_g2
