X	ECEF_Abd	ECEF_Eye	ECEF_Leg	ECEF_Meso	ECEF_Ovi	ECEF_Pro	ECEF_Wing2	ECEF_Wing3	ECFisC_Abd	ECFisC_Eye	ECFisC_Leg	ECFisC_Meso	ECFisC_Ovi	ECFisC_Pro	ECFisC_Wing2	ECFisC_Wing3	ECty4_Abd	ECty4_Eye	ECty4_Leg	ECty4_Meso	ECty4_Ovi	ECty4_Pro	ECty4_Wing2	ECty4_Wing3	id
ECEF_Pro_TRINITY_DN24880_c0_g1	3	5	1	4	0	5	2	4	0	2	0	6	3	2	3	1	0	1	8	5	2	1	8	1	ECEF_Pro_TRINITY_DN24880_c0_g1
ECEF_Leg_TRINITY_DN15364_c0_g2	4	16	30	1	4	0	0	1	3	2	0	2	2	0	0	3	1	0	16	1	4	0	0	0	ECEF_Leg_TRINITY_DN15364_c0_g2
ECEF_Leg_TRINITY_DN25374_c0_g1	844.02	793.88	5416.55	3044.26	798.67	658.06	2329.15	2263.97	2032.48	277.53	484.99	2357.42	1421.1	422.21	2053.62	4495.06	751.3	2079.14	3080.9	1843.05	1728.26	174.44	1366.78	283.24	ECEF_Leg_TRINITY_DN25374_c0_g1
ECEF_Leg_TRINITY_DN23465_c0_g1	239.17	400.97	701.2	507.34	279.76	537	996.41	698	447.45	106.7	79.82	836.78	1313.79	846.98	1439.27	1756.97	276.04	356.25	357.19	518.45	883.75	135.52	568.82	92.47	ECEF_Leg_TRINITY_DN23465_c0_g1
ECEF_Abd_TRINITY_DN9047_c0_g1	754	752	1201	1560	400	867	1682	1027	813	210	93	1846	2077	1255	1534	2103	946	1045	1423	2086	1911	380	2015	190	ECEF_Abd_TRINITY_DN9047_c0_g1
ECEF_Abd_TRINITY_DN18372_c1_g2	142	237	378	178	120	164	336	235	163	46	36	213	306	221	330	371	212	307	383	364	454	81	436	58	ECEF_Abd_TRINITY_DN18372_c1_g2
ECEF_Meso_TRINITY_DN23222_c0_g1	19.84	15.29	18.1	36.61	14.5	22	19	13.47	10	2	1	19	13	9	15	15.63	2.99	3.6	11	13.18	18	3	3.04	5	ECEF_Meso_TRINITY_DN23222_c0_g1
ECEF_Wing3_TRINITY_DN14958_c0_g5	1	5	3	4	2	0	1	6	9	0	1	2	1	3	1	3	0	3	3	2	2	0	4	7	ECEF_Wing3_TRINITY_DN14958_c0_g5
ECEF_Ovi_TRINITY_DN21646_c1_g2	66.63	65.46	187.5	209.59	129.41	111.86	327.22	220.76	103.78	35.82	7.07	212.69	312.27	173.04	238.2	375.79	62.96	76.37	86.49	101.88	195.08	33.16	217.56	29.09	ECEF_Ovi_TRINITY_DN21646_c1_g2
ECEF_Eye_TRINITY_DN24192_c0_g1	284.5	581.35	847.63	679.7	372.57	249.64	1100.14	883.23	221.31	74.62	53.22	474.79	1095.96	284.48	948.41	968.65	224.29	640.4	583.01	738.23	1084.93	103.25	789.38	83.14	ECEF_Eye_TRINITY_DN24192_c0_g1
ECEF_Eye_TRINITY_DN21829_c1_g2	0	1	0	1	1	0	0	1	0	0	0	3	1	1	0	1	2	0	0	1	0	0	1	0	ECEF_Eye_TRINITY_DN21829_c1_g2
ECEF_Leg_TRINITY_DN20064_c0_g1	85	183	301	302	311	141	296	368	256	69	33	397	635	318	630	835	81	178	175	278	428	86	317	110	ECEF_Leg_TRINITY_DN20064_c0_g1
ECEF_Leg_TRINITY_DN21536_c2_g1	60.29	89.54	232	148.31	56.8	64	99.11	112.6	15.1	5	3	40	42	35	38.58	46.67	22	21.87	23	27.46	39.18	5.77	39.81	9.11	ECEF_Leg_TRINITY_DN21536_c2_g1
ECEF_Wing3_TRINITY_DN23154_c0_g1	5	22	33	39	23	21	49	50	28	7	6	63	91	61	78	85	23	42	41	38	67	9	67	8	ECEF_Wing3_TRINITY_DN23154_c0_g1
ECEF_Leg_TRINITY_DN21778_c0_g4	147.05	205.83	298.13	336.3	97.66	155.57	334.15	280.33	117.41	45.1	37.66	340.47	519.2	325.2	416.47	499.54	157.17	268.64	291.76	351.89	448.13	64.85	452.57	57.49	ECEF_Leg_TRINITY_DN21778_c0_g4
ECEF_Eye_TRINITY_DN22515_c1_g1	0	4	3	3	4.26	3.65	3.44	0	6.9	1.74	0	7.88	7.34	2.48	19.33	10.64	2.24	4.18	2.81	3.79	2.98	0	2	2.8	ECEF_Eye_TRINITY_DN22515_c1_g1
