X	ECEF_Abd	ECEF_Eye	ECEF_Leg	ECEF_Meso	ECEF_Ovi	ECEF_Pro	ECEF_Wing2	ECEF_Wing3	ECFisC_Abd	ECFisC_Eye	ECFisC_Leg	ECFisC_Meso	ECFisC_Ovi	ECFisC_Pro	ECFisC_Wing2	ECFisC_Wing3	ECty4_Abd	ECty4_Eye	ECty4_Leg	ECty4_Meso	ECty4_Ovi	ECty4_Pro	ECty4_Wing2	ECty4_Wing3	id
ECEF_Meso_TRINITY_DN27467_c0_g1	44.62	55.26	73.07	75.41	38.91	43.25	56.37	67.92	43.31	11.91	3.34	59.26	82.61	42.47	69.46	107.68	49.29	54	57.53	66.3	123.27	23.81	100.43	14.67	ECEF_Meso_TRINITY_DN27467_c0_g1
ECEF_Abd_TRINITY_DN18595_c0_g1	34.19	36.55	39.51	67.1	20.62	76.6	87.21	37.56	96.57	19.9	7.42	52.56	106.33	136.11	79.21	163	23.55	50.68	58.96	85.12	83.99	58.17	145.05	18.72	ECEF_Abd_TRINITY_DN18595_c0_g1
ECEF_Meso_TRINITY_DN15886_c0_g2	3	0	0	7	0	0	0	0	5	0	0	4	2	0	0	0	1	0	3	8	4	0	0	0	ECEF_Meso_TRINITY_DN15886_c0_g2
ECEF_Abd_TRINITY_DN21657_c1_g4	324.58	279.82	445.16	304.12	275.54	171.29	461.25	416.35	223.55	36.73	18	191.25	163.73	59.27	139.74	194.95	215.07	924.52	575.03	755.36	552.82	157.54	925.48	207.17	ECEF_Abd_TRINITY_DN21657_c1_g4
ECEF_Meso_TRINITY_DN27364_c0_g1	732	606	870	1012	402	488	896	782	580	131	55	1059	1121	804	954	1242	662	966	874	1562	1387	257	1568	147	ECEF_Meso_TRINITY_DN27364_c0_g1
ECEF_Eye_TRINITY_DN19824_c0_g5	6	11	11	10	4	4	10	9	0	0	0	0	1	3	3	5	1	0	1	2	0	0	1	1	ECEF_Eye_TRINITY_DN19824_c0_g5
ECEF_Leg_TRINITY_DN20007_c0_g1	447	556	692	639	334	523	932	759	333	89	33	641	944	482	682	912	353	502	425	648	853	106	733	76	ECEF_Leg_TRINITY_DN20007_c0_g1
ECEF_Eye_TRINITY_DN15445_c0_g1	0	6	0	0	0	1	0	0	0	3	0	0	2	0	0	0	1	1	1	0	1	0	0	0	ECEF_Eye_TRINITY_DN15445_c0_g1
ECEF_Abd_TRINITY_DN19632_c0_g1	282.73	196.88	502.9	168.05	80.92	147.1	161.9	146.12	86.29	11.71	10.86	89.89	99.97	38.32	109.01	91.85	193.04	179.86	150.96	149.93	194.09	25.48	100.5	15.71	ECEF_Abd_TRINITY_DN19632_c0_g1
ECEF_Eye_TRINITY_DN14950_c0_g1	306	339	539	549	176	284	556	569	83	47	21	261	409	244	269	450	207	310	272	349	622	43	519	28	ECEF_Eye_TRINITY_DN14950_c0_g1
ECEF_Leg_TRINITY_DN23723_c0_g1	35.77	125.04	181.62	153.31	40.64	68.08	178.83	79.48	37.09	9.59	5	111.14	109.19	44.15	89.33	138.7	47.14	93.94	90.69	129.23	148.15	17.29	149.37	16.65	ECEF_Leg_TRINITY_DN23723_c0_g1
ECEF_Eye_TRINITY_DN19385_c0_g1	32	1216	64	17	15	40	31	5	23	299	5	25	96	86	36	31	33	232	57	25	103	5	36	3	ECEF_Eye_TRINITY_DN19385_c0_g1
ECEF_Abd_TRINITY_DN19610_c0_g1	2139	2314	4224	4201	2047	2730	5431	4114	2641	624	421	7447	8552	4779	6411	9359	1874	2673	2719	4956	5180	701	5279	558	ECEF_Abd_TRINITY_DN19610_c0_g1
ECEF_Abd_TRINITY_DN17725_c0_g1	334	268	704	685	149	321	804	448	107	69	34	652	409	285	383	583	205	303	412	548	415	77	500	54	ECEF_Abd_TRINITY_DN17725_c0_g1
ECEF_Meso_TRINITY_DN19541_c0_g1	2.74	8.39	10.18	15.37	3.45	0	16.76	9.42	0	0	0	2.66	8.13	2.66	4.29	9.26	4.17	6.19	10.16	9.49	13.66	1.33	3.83	0	ECEF_Meso_TRINITY_DN19541_c0_g1
ECEF_Meso_TRINITY_DN29549_c0_g1	49.18	28.87	46.37	90.67	41.03	44.96	124.23	78.35	32.65	11.92	3.2	14.83	24.11	22.86	38.33	34.33	27.69	30.88	22.71	70.45	39.48	20.99	70.78	7.78	ECEF_Meso_TRINITY_DN29549_c0_g1
ECEF_Wing3_TRINITY_DN24632_c0_g1	7	9	7	17	7	15	17	27	11	7	2	21	22	15	16	23	10	16	16	13	25	5	37	10	ECEF_Wing3_TRINITY_DN24632_c0_g1
ECEF_Eye_TRINITY_DN18992_c0_g1	8.06	19.55	27.1	46.84	12.87	9.94	24.98	24.15	11.04	2.01	2.22	42.85	34.02	31.23	20.22	49.26	15.36	39.76	34.24	45.13	33.97	6.93	40.73	5.95	ECEF_Eye_TRINITY_DN18992_c0_g1
ECEF_Abd_TRINITY_DN14920_c0_g1	145	15	601	49	35	12	4	40	51	1	38	27	50	10	9	59	123	6	515	68	60	5	5	1	ECEF_Abd_TRINITY_DN14920_c0_g1
ECEF_Abd_TRINITY_DN9256_c0_g3	10	0	0	1	2	0	0	0	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	ECEF_Abd_TRINITY_DN9256_c0_g3
ECEF_Wing2_TRINITY_DN23026_c0_g1	133.51	177.68	217.13	159.62	109.19	121.75	268.89	322.15	121.99	73.36	27.94	295.84	482.77	252.06	301.83	453.92	62.29	141.54	85.72	121.66	211.44	10.89	135.34	10.44	ECEF_Wing2_TRINITY_DN23026_c0_g1
ECEF_Wing3_TRINITY_DN25922_c0_g1	11	8	28	38	21	16	22	69	25	2	3	24	42	17	25	38	7	18	11	19	49	2	42	8	ECEF_Wing3_TRINITY_DN25922_c0_g1
ECEF_Meso_TRINITY_DN23600_c0_g1	389	428	548	753	232	502	1181	725	424	122	50	841	1339	838	1122	1287	465	641	774	900	1281	302	1560	148	ECEF_Meso_TRINITY_DN23600_c0_g1
ECEF_Wing3_TRINITY_DN22086_c0_g1	8	44	32	24	24	20	34	40	23	8	3	33	30	22	42	57	9	17	18	35	40	5	43	21	ECEF_Wing3_TRINITY_DN22086_c0_g1
ECEF_Eye_TRINITY_DN11749_c0_g1	19	62	63	68	25	33	102	66	14	13	3	62	91	53	78	110	22	44	38	59	75	10	70	4	ECEF_Eye_TRINITY_DN11749_c0_g1
ECEF_Wing2_TRINITY_DN3062_c0_g1	0	1	1	1	6	0	6	5	3	0	0	4	16	5	18	8	2	1	2	5	11	2	4	0	ECEF_Wing2_TRINITY_DN3062_c0_g1
ECEF_Wing3_TRINITY_DN3676_c0_g1	0	1	0	2	0	0	0	4	0	0	0	2	1	0	0	1	0	0	0	2	1	2	1	0	ECEF_Wing3_TRINITY_DN3676_c0_g1
ECEF_Abd_TRINITY_DN19282_c0_g1	622	1168	1267	856	478	641	1436	1342	344	187	59	734	1179	626	984	1467	524	1204	798	939	1165	152	1413	169	ECEF_Abd_TRINITY_DN19282_c0_g1
ECEF_Wing3_TRINITY_DN1416_c0_g1	2	0	2	6	0	1	1	1	9	0	1	2	3	4	3	4	4	5	3	4	6	2	7	2	ECEF_Wing3_TRINITY_DN1416_c0_g1
ECEF_Eye_TRINITY_DN25824_c0_g1	4	8	3	4	4	2	4	5	9	2	1	2	3	2	1	5	0	1	0	1	0	0	2	2	ECEF_Eye_TRINITY_DN25824_c0_g1
ECEF_Abd_TRINITY_DN21518_c0_g1	598	611	916	758	378	545	1028	704	686	184	71	1252	1560	1085	1463	1767	624	1047	1086	1444	1681	287	2091	237	ECEF_Abd_TRINITY_DN21518_c0_g1
ECEF_Wing3_TRINITY_DN27682_c0_g1	6.52	31.25	24.36	24.08	20.69	16.81	39.69	47.65	8.86	5.04	0	27.6	35.49	17.24	27.06	25.45	15.58	36.09	29.8	43.66	61.52	3.41	64.53	18.15	ECEF_Wing3_TRINITY_DN27682_c0_g1
ECEF_Wing3_TRINITY_DN19246_c0_g1	1	3	3	5	3	2	2	14	0	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	ECEF_Wing3_TRINITY_DN19246_c0_g1
ECEF_Abd_TRINITY_DN19698_c0_g1	440	385	591	378	226	424	813	691	408	93	62	626	1150	728	923	1264	588	710	742	971	1256	203	1797	169	ECEF_Abd_TRINITY_DN19698_c0_g1
ECEF_Meso_TRINITY_DN25950_c0_g1	788	934	1382	1355	624	664	1226	1097	642	147	92	1301	1609	700	1054	1415	387	608	580	906	1098	113	780	85	ECEF_Meso_TRINITY_DN25950_c0_g1
ECEF_Ovi_TRINITY_DN10780_c0_g2	18	68	55	58	24	32	78	57	27	11	4	77	89	51	107	101	19	33	46	63	78	16	102	16	ECEF_Ovi_TRINITY_DN10780_c0_g2
ECEF_Leg_TRINITY_DN17605_c1_g5	0	0	10	8	1	0	0	5	0	1	0	3	3	0	0	0	0	6	6	4	3	3	1	0	ECEF_Leg_TRINITY_DN17605_c1_g5
ECEF_Wing3_TRINITY_DN31709_c0_g1	2	2	5	0	3	3	1	6	1	0	0	1	1	2	2	0	1	2	2	2	7	0	4	0	ECEF_Wing3_TRINITY_DN31709_c0_g1
ECEF_Ovi_TRINITY_DN14996_c0_g1	3	33	23	12	38	8	23	20	10	4	1	18	29	18	33	37	5	28	8	25	31	4	23	6	ECEF_Ovi_TRINITY_DN14996_c0_g1
ECEF_Wing2_TRINITY_DN26021_c0_g3	0	1	1	1	1	7	10	8	0	1	0	1	0	17	21	9	16	50	90	14	102	5	32	3	ECEF_Wing2_TRINITY_DN26021_c0_g3
ECEF_Abd_TRINITY_DN17979_c0_g1	223	295	388	309	77	186	411	216	206	84	41	457	498	371	492	581	359	492	571	570	644	83	834	61	ECEF_Abd_TRINITY_DN17979_c0_g1
ECEF_Wing2_TRINITY_DN25530_c1_g2	1	6	7	17	3	6	17	11	2	0	2	5	8	5	6	9	3	6	2	3	7	1	4	1	ECEF_Wing2_TRINITY_DN25530_c1_g2
ECEF_Abd_TRINITY_DN16058_c0_g1	256	34	35	74	32	21	9	13	249	4	1	98	52	34	8	37	139	54	66	60	117	6	3	2	ECEF_Abd_TRINITY_DN16058_c0_g1
ECEF_Leg_TRINITY_DN22584_c1_g2	189.22	51.87	129.64	40.99	23	98.45	75.28	54.45	131.76	5	1.9	57.55	25.01	34.49	33.15	62.03	113.07	61.64	39.2	34.83	38.37	6.55	96.25	2	ECEF_Leg_TRINITY_DN22584_c1_g2
ECEF_Ovi_TRINITY_DN13407_c0_g1	0.64	0	0	0	4.53	0	0	0	0	2.15	0	0	0	0	0	1.86	0	0	0	0	0	2.81	0	0	ECEF_Ovi_TRINITY_DN13407_c0_g1
ECEF_Wing2_TRINITY_DN17084_c0_g2	1	2	1	1	0	2	5	0	0	0	0	3	3	1	0	0	2	2	0	1	0	1	1	0	ECEF_Wing2_TRINITY_DN17084_c0_g2
ECEF_Wing3_TRINITY_DN29778_c0_g1	430.6	74.54	1058.4	151.9	643.6	36.67	14.33	59.08	636.22	3.56	64.94	118.04	1033.44	22.38	73.45	66.4	718.31	32.71	479.35	316.76	1127.89	3.78	6	3.86	ECEF_Wing3_TRINITY_DN29778_c0_g1
ECEF_Wing3_TRINITY_DN7036_c0_g1	2	7	3	3	2	1	0	8	4	0	0	6	3	1	2	4	3	4	5	1	1	1	2	0	ECEF_Wing3_TRINITY_DN7036_c0_g1
ECEF_Eye_TRINITY_DN21361_c0_g1	17.52	32.64	25.71	41.07	2.47	11.42	37.26	15.53	5.28	11.81	6.14	15.83	25.43	8.03	16.74	37.17	2.44	0	12.92	2.83	0	0	3.25	0	ECEF_Eye_TRINITY_DN21361_c0_g1
ECEF_Abd_TRINITY_DN16940_c0_g2	33	16	7	2	22	9	2	4	35	1	2	2	31	11	7	8	62	12	1	1	53	0	15	0	ECEF_Abd_TRINITY_DN16940_c0_g2
ECEF_Leg_TRINITY_DN22291_c0_g2	18.48	28.53	83.46	35.56	36.43	27.11	88.66	63.03	64.08	12.9	5.79	99.21	152.01	43.72	136.85	157.06	27.42	53.48	81.47	78.35	122.21	14.34	118.91	3.87	ECEF_Leg_TRINITY_DN22291_c0_g2
ECEF_Meso_TRINITY_DN31744_c0_g1	1	3	4	9	7	2	8	4	1	3	0	10	14	6	9	14	1	5	3	11	7	2	12	2	ECEF_Meso_TRINITY_DN31744_c0_g1
ECEF_Eye_TRINITY_DN22937_c1_g2	86	67	103	113	22	57	62	74	59	12	5	96	45	44	52	76	88	49	109	73	69	9	74	5	ECEF_Eye_TRINITY_DN22937_c1_g2
ECEF_Leg_TRINITY_DN22416_c1_g1	137	26	1357	26	27	11	16	7	103	8	146	62	132	31	19	31	87	66	452	100	145	7	16	2	ECEF_Leg_TRINITY_DN22416_c1_g1
ECEF_Meso_TRINITY_DN25604_c0_g1	0	1	0	5.39	0	1	2	0	0	2	0	5	0	2	2	4	1	0	0	3	0	0	2	0	ECEF_Meso_TRINITY_DN25604_c0_g1
ECEF_Eye_TRINITY_DN24634_c3_g1	353	595	822	317	163	286	668	433	467	57	72	340	578	325	742	839	256	394	329	210	427	43	541	70	ECEF_Eye_TRINITY_DN24634_c3_g1
ECEF_Meso_TRINITY_DN5323_c0_g1	1	2	1	7	1	4	1	2	0	0	0	2	1	1	2	0	1	0	2	0	5	0	2	0	ECEF_Meso_TRINITY_DN5323_c0_g1
ECEF_Ovi_TRINITY_DN18269_c1_g1	31.12	26.69	38.64	35.46	35.49	23.73	75.87	36.75	4.35	4.83	0	24.79	30.18	17.19	13.1	37.54	21.62	17.01	15.7	22.89	38.83	6.63	36.66	23.9	ECEF_Ovi_TRINITY_DN18269_c1_g1
ECEF_Leg_TRINITY_DN9835_c1_g2	1.05	0	5.74	13.55	0	0	0.45	0	2.49	0	0	0	0	3.58	0	0	0	0	0	4.4	0	2.8	0	0.51	ECEF_Leg_TRINITY_DN9835_c1_g2
ECEF_Abd_TRINITY_DN18911_c0_g1	212	159	353	306	128	208	445	309	141	51	29	327	450	251	342	483	149	230	206	292	291	47	425	59	ECEF_Abd_TRINITY_DN18911_c0_g1
ECEF_Leg_TRINITY_DN19816_c3_g1	99	186	237	198	102	83	240	219	126	66	38	296	416	231	350	484	90	148	136	215	249	40	230	37	ECEF_Leg_TRINITY_DN19816_c3_g1
ECEF_Ovi_TRINITY_DN3165_c0_g1	30.45	14.79	8.68	12.87	21.91	9.8	8.01	3.04	48.83	1.78	2.09	72.77	71.17	18.47	3.01	48.39	298.81	83.58	161.55	141.81	503.4	26.23	60.07	17.59	ECEF_Ovi_TRINITY_DN3165_c0_g1
ECEF_Meso_TRINITY_DN25772_c5_g1	1	1	2	7	0	2	2	2	12	6	2	26	27	20	25.42	27	1	14	14.48	7	2.25	0	14	2	ECEF_Meso_TRINITY_DN25772_c5_g1
ECEF_Eye_TRINITY_DN20398_c0_g1	568.86	111.5	126.86	169.95	89.12	41.91	43.53	86.83	848.74	29.06	7	357.3	259.32	165.5	50.55	202.06	805.92	254.79	264.92	329.58	458.57	15.49	40.48	18.81	ECEF_Eye_TRINITY_DN20398_c0_g1
ECEF_Eye_TRINITY_DN23337_c1_g1	19.73	585.05	257.77	43.12	20	10	29.12	35.87	60.02	308.75	33	63.52	35.36	29.01	46.87	99.34	53	358.81	183.17	56.11	72	2	22.19	9	ECEF_Eye_TRINITY_DN23337_c1_g1
ECEF_Wing2_TRINITY_DN5171_c0_g1	0	2	0	2	1	6	6	2	0	0	0	0	4	0	1	2	0	2	1	3	2	1	8	1	ECEF_Wing2_TRINITY_DN5171_c0_g1
ECEF_Eye_TRINITY_DN17615_c0_g1	50.06	385.42	105.22	97.23	6.07	36.38	50.59	48.65	10.55	113.62	3.05	61.11	49.28	20.82	48.9	67.29	31.21	284.24	59.79	102.81	81.23	13.53	48.38	12.83	ECEF_Eye_TRINITY_DN17615_c0_g1
ECEF_Wing2_TRINITY_DN27426_c0_g1	0	0.94	0	0.84	0	0	1.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ECEF_Wing2_TRINITY_DN27426_c0_g1
ECEF_Eye_TRINITY_DN1607_c0_g1	2	15	6	5	2	1	7	6	3	2	1	9	11	5	5	12	1	4	3	8	8	5	3	1	ECEF_Eye_TRINITY_DN1607_c0_g1
ECEF_Abd_TRINITY_DN20295_c0_g1	153.53	48.5	1231.44	1845.49	41.35	24.69	28.64	96.49	118.09	1.46	86.52	1597.06	133.09	16	27.35	166.84	170.14	47	1261.03	888.65	270.28	15	111.28	7	ECEF_Abd_TRINITY_DN20295_c0_g1
ECEF_Abd_TRINITY_DN17012_c0_g1	91	0	0	1	4	2	0	0	28	0	0	0	1	0	1	3	34	0	0	1	1	0	0	0	ECEF_Abd_TRINITY_DN17012_c0_g1
ECEF_Meso_TRINITY_DN22154_c0_g1	22	44	37	44	19	25	48	34	12	4	6	36	44	17	45	59	17	15	12	31	66	8	61	14	ECEF_Meso_TRINITY_DN22154_c0_g1
ECEF_Leg_TRINITY_DN6233_c0_g1	6	23	22	18	3	8	11	10	22	10	1	42	44	31	34	43	30	81	72	62	52	16	63	5	ECEF_Leg_TRINITY_DN6233_c0_g1
ECEF_Wing2_TRINITY_DN25814_c5_g2	0	4	4	3	3	5	1	4	6	0	1	6	3	4	4	4	2	3	1	4	6	0	4	1	ECEF_Wing2_TRINITY_DN25814_c5_g2
ECEF_Eye_TRINITY_DN21363_c0_g1	187.53	546.14	634.52	511.48	170.59	381.8	510.04	391.13	253.29	53.18	51.63	688.47	711.66	563.38	850.82	588.12	203.3	397.78	416.74	385.93	366.81	61.67	603.83	63.99	ECEF_Eye_TRINITY_DN21363_c0_g1
ECEF_Wing3_TRINITY_DN30326_c0_g1	60.6	100.94	166.41	186.93	85.53	92.52	177.98	164.72	100.22	30.76	26.5	217.88	233.73	181.22	241.16	327.84	65.8	147.24	136.25	194.74	230.1	47.84	298.54	31.99	ECEF_Wing3_TRINITY_DN30326_c0_g1
ECEF_Leg_TRINITY_DN12117_c0_g1	4	3	20	2	0	1	1	1	2	0	0	1	1	9	2	5	10	5	28	5	4	0	1	0	ECEF_Leg_TRINITY_DN12117_c0_g1
ECEF_Meso_TRINITY_DN27448_c1_g2	206	403	677	605	305	396	876	551	171	63	40	600	1010	482	772	978	187	289	359	513	698	92	667	49	ECEF_Meso_TRINITY_DN27448_c1_g2
ECEF_Meso_TRINITY_DN569_c0_g1	1	3	0	9	1	0	1	1	12	0	0	4	0	4	4	6	5	3	3	4	3	1	8	5	ECEF_Meso_TRINITY_DN569_c0_g1
ECEF_Abd_TRINITY_DN21711_c1_g1	681	765	1461	1354	671	1077	2434	1754	582	147	122	1663	2632	1436	2051	2626	685	939	1111	1480	2117	314	1841	155	ECEF_Abd_TRINITY_DN21711_c1_g1
ECEF_Eye_TRINITY_DN20422_c2_g2	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	1	0	0	0	0	0	ECEF_Eye_TRINITY_DN20422_c2_g2
ECEF_Wing2_TRINITY_DN20212_c0_g2	9.22	10.11	39	14.87	7.49	12.31	62	41	14.61	5	1	33.07	42.22	28	30.02	28.16	4.78	12	4.62	18.04	14.8	0	15.41	7	ECEF_Wing2_TRINITY_DN20212_c0_g2
ECEF_Eye_TRINITY_DN14778_c0_g1	2	3.42	1.29	2.64	1.68	0	0	2.27	0	1	0	3.01	4.11	3.47	4.4	5.24	0	3.98	6.94	2.74	3.9	1	3.6	0	ECEF_Eye_TRINITY_DN14778_c0_g1
ECEF_Leg_TRINITY_DN20673_c1_g1	44.62	209.74	218.48	148.85	41.03	11.66	25.68	35.68	40.65	82.67	17.16	167.05	103.54	21.63	23.28	51.09	36.84	135.84	144.57	116.49	71.79	1.37	23.53	2.59	ECEF_Leg_TRINITY_DN20673_c1_g1
ECEF_Wing3_TRINITY_DN19997_c0_g1	6	4	19	16	13	7	13	23	13	3	4	20	50	19	24	48	4	9	15	19	21	2	16	5	ECEF_Wing3_TRINITY_DN19997_c0_g1
ECEF_Wing3_TRINITY_DN29268_c0_g1	11.54	26.51	27.4	28.66	21.35	23.02	46.51	64.92	21.87	7.93	6.17	73.98	99.28	65.77	87.08	98.78	21	49.13	39.03	67.41	103.74	13.92	115.71	24.18	ECEF_Wing3_TRINITY_DN29268_c0_g1
ECEF_Meso_TRINITY_DN22087_c0_g1	66.04	47.92	169.53	82.39	25.1	35.26	33.06	52.35	82.9	11	16.25	83.43	58.62	48.19	39.67	84.34	111.95	51.25	168.94	137.86	122.82	11	46.83	4.68	ECEF_Meso_TRINITY_DN22087_c0_g1
ECEF_Meso_TRINITY_DN19097_c0_g1	15	12	47	33	32	18	40	51	22	9	2	50	81	40	85	123	9	20	19	28	56	4	38	9	ECEF_Meso_TRINITY_DN19097_c0_g1
ECEF_Wing3_TRINITY_DN489_c0_g1	0	2	3	11	0	0	2	8	3	0	2	6	5	5	4	10	2	5	3	3	5	1	10	0	ECEF_Wing3_TRINITY_DN489_c0_g1
ECEF_Leg_TRINITY_DN20787_c0_g2	67	115	192	176	29	44	65	61	33	8	6	71.98	59.99	47.98	51	79.89	17	52	25	34	35	3	58	1	ECEF_Leg_TRINITY_DN20787_c0_g2
ECEF_Eye_TRINITY_DN23025_c0_g1	211	308	537	391	223	369	899	653	352	93	44	700	1135	665	942	1212	176	205	239	342	590	57	477	46	ECEF_Eye_TRINITY_DN23025_c0_g1
ECEF_Abd_TRINITY_DN22109_c2_g2	876.87	1919.4	2664.31	2040.6	355.89	692.89	1140.86	973.14	816.27	298.76	206.04	1838.3	1626.94	1073.72	1590.38	1942.55	997.47	1415.29	2631.93	2262.56	1609.45	181.97	1969.24	211.96	ECEF_Abd_TRINITY_DN22109_c2_g2
ECEF_Wing3_TRINITY_DN9333_c0_g1	0	0	1	3	0	1	1	12	0	1	0	9	7	56	0	27	2	1	0	1	13	3	2	3	ECEF_Wing3_TRINITY_DN9333_c0_g1
ECEF_Wing2_TRINITY_DN17567_c0_g1	10	20	11	28	3	12	44	10	25	6	1	26	14	10	11	26	0	3	5	3	4	1	8	0	ECEF_Wing2_TRINITY_DN17567_c0_g1
ECEF_Pro_TRINITY_DN19247_c0_g1	2.74	13.56	4.3	10.8	3.24	12.21	14.12	9.97	6.92	1.1	0	12.48	2.29	15.88	14.61	14.25	2.48	11.81	2.61	10.96	17.73	4	13.13	0	ECEF_Pro_TRINITY_DN19247_c0_g1
ECEF_Eye_TRINITY_DN21873_c0_g2	2323	2209	3708	1513	1402	1912	2771	2438	2528	468	221	1989	2927	1654	2846	3998	1449	1787	1247	1868	1833	251	2115	324	ECEF_Eye_TRINITY_DN21873_c0_g2
ECEF_Meso_TRINITY_DN20042_c0_g1	79	26	28	55	13	21	3	12	30	6	2	77	65	49	10	32	60	64	61	65	93	3	12	5	ECEF_Meso_TRINITY_DN20042_c0_g1
ECEF_Leg_TRINITY_DN19414_c0_g1	64	113	168	124	71	91	196	153	32	19	6	93	194	93	152	178	43	79	56	73	136	16	99	12	ECEF_Leg_TRINITY_DN19414_c0_g1
ECEF_Wing2_TRINITY_DN22591_c0_g1	19.3	12.3	13.52	13.39	10.73	4	27.78	11.54	6.66	7.11	1.62	12.62	25.21	6	23.98	24.93	16.75	39.09	16.96	21.86	26.07	11.37	57.82	3	ECEF_Wing2_TRINITY_DN22591_c0_g1
ECEF_Pro_TRINITY_DN10262_c0_g1	0	0	1	2	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	ECEF_Pro_TRINITY_DN10262_c0_g1
ECEF_Abd_TRINITY_DN15832_c0_g1	51.92	35.04	40.8	44.69	41.58	31.07	64.56	60.59	11.74	0	0	36.29	50.19	11.06	16.34	26.58	0	6.95	3.89	14.48	30.18	0	16.26	0	ECEF_Abd_TRINITY_DN15832_c0_g1
ECEF_Abd_TRINITY_DN15277_c0_g1	311	0	1	9	19	0	5	6	102	0	0	10	12	8	14	20	106	0	5	16	2	2	12	2	ECEF_Abd_TRINITY_DN15277_c0_g1
ECEF_Abd_TRINITY_DN17866_c0_g1	85	146	162	167	185	90	194	248	56	8	9	112	223	97	133	164	56	125	71	133	191	12	121	25	ECEF_Abd_TRINITY_DN17866_c0_g1
ECEF_Abd_TRINITY_DN15231_c0_g1	376.44	345.19	498.34	524.84	212.74	246.02	552.63	497.84	243.06	73.23	44.4	639.98	626.42	348.32	543.61	703.56	494	548.37	686.18	916.05	894	108	937.89	145	ECEF_Abd_TRINITY_DN15231_c0_g1
ECEF_Meso_TRINITY_DN23826_c0_g1	2	8	19	19	5	7	4	11	15	1	5	11	25	17	35	36	7	14	18	12	32	2	15	5	ECEF_Meso_TRINITY_DN23826_c0_g1
ECEF_Wing2_TRINITY_DN26736_c0_g1	51.01	97	115.57	128.28	73.63	144.48	232.89	163.77	30.39	21.86	11.56	79.61	114.41	76.49	118.41	173.07	22.16	48.88	34.23	46.4	110.08	25.88	86.78	14	ECEF_Wing2_TRINITY_DN26736_c0_g1
ECEF_Pro_TRINITY_DN20930_c1_g1	119	159	197	181	82	115	223	196	95	43	21	200	274	172	215	241	74	151	130	162	214	30	208	31	ECEF_Pro_TRINITY_DN20930_c1_g1
ECEF_Leg_TRINITY_DN23488_c0_g1	318.03	857.17	1018.55	922.78	718.28	590.98	1187.64	951.79	544.44	189.93	128.77	1303.68	2146.54	1321.04	1781.94	2054.41	280.12	611.1	524.46	921.21	722.39	172.86	949.82	236.15	ECEF_Leg_TRINITY_DN23488_c0_g1
ECEF_Ovi_TRINITY_DN21525_c0_g1	165	368	531	509	165	337	653.94	419.94	382	169	73	1252	1538	1145	1877	2087	539	678	732	1101	1558	202	1203	143	ECEF_Ovi_TRINITY_DN21525_c0_g1
ECEF_Abd_TRINITY_DN22740_c0_g1	912.93	1107.67	1523.78	2254.04	620.09	1679.19	1784.38	2591.21	1846.12	488.3	202.57	1779.91	1942.86	1601.45	1985.14	2878.1	898.15	2716.77	1661.72	2394.89	3114.06	826.46	3947.65	1206.15	ECEF_Abd_TRINITY_DN22740_c0_g1
ECEF_Abd_TRINITY_DN13983_c0_g1	134	223	321	483	73	127	219	200	88	34	12	300	236	107	163	203	138	236	349	449	279	33	285	15	ECEF_Abd_TRINITY_DN13983_c0_g1
ECEF_Meso_TRINITY_DN24897_c1_g1	6	36.3	23.45	66.92	21.49	14.42	45.9	41.86	17	5.83	1	57.97	79.09	40.4	81.63	84.54	19.01	55.42	45.54	87.5	96.81	2	51.84	15	ECEF_Meso_TRINITY_DN24897_c1_g1
ECEF_Leg_TRINITY_DN19275_c0_g5	3	1	37	12	7	6	0	10	14	1	2	24	11	15	5	33	6	11	30	30	8	6	4	3	ECEF_Leg_TRINITY_DN19275_c0_g5
ECEF_Wing2_TRINITY_DN23969_c0_g1	82	62	124	82	84	104	240	183	53	14	14	148	310	103	206	308	53	62	33	101	130	8	87	11	ECEF_Wing2_TRINITY_DN23969_c0_g1
ECEF_Ovi_TRINITY_DN13194_c0_g1	0	0	4.5	0	7.79	2.17	1.09	0	1.3	0	1.9	3.61	4.24	10.71	17.54	4.8	2.2	3.22	2.11	0	4.83	1.57	2.02	1	ECEF_Ovi_TRINITY_DN13194_c0_g1
ECEF_Abd_TRINITY_DN8383_c0_g1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	ECEF_Abd_TRINITY_DN8383_c0_g1
ECEF_Wing3_TRINITY_DN27545_c0_g1	124.96	159.57	206.49	143.95	60.87	95.8	151.49	159	106.88	31	19	137.31	196.57	112.3	149	215.01	104.26	203.12	141.19	195.07	177.3	17.84	223.23	23	ECEF_Wing3_TRINITY_DN27545_c0_g1
ECEF_Leg_TRINITY_DN17367_c0_g1	117	104	109	138	69	57	133	86	92	16	9	108	143	77	110	99	95	74	75	94	99	19	72	7	ECEF_Leg_TRINITY_DN17367_c0_g1
